ADS1015_1_DIG1:1
ADS1015_2_DIG1:1
ASD1015_1_ANA1:1
ASD1015_2_ANA1:1
C1:1
C2:1
CV_INPUT_I2C_EXPANDER1:1
CV_INPUT_I2C_THRU1:1
JACK1:1
JACK2:1
JACK3:1
JACK4:1
JACK5:1
JACK6:1
