Designator,Footprint,Quantity,Value,LCSC Part #
J1_FRONT1,PinSocket_2x06_P2.54mm_Vertical,1,Conn_02x06_Odd_Even,
J2_FRONT1,PinSocket_1x06_P2.54mm_Vertical,1,Conn_01x06_Socket,
"JMIDIIN1, JMIDIIN2, JMIDIIN3, JMIDIIN4, JMIDIOUT1, JMIDIOUT2, JMIDIOUT3, JMIDIOUT4",Jack_3.5mm_QingPu_WQP-PJ398SM_TRS_Vertical_CircularHoles,8,MIDI In Jack 3.5mm stereo jack,
"R1, R2, R3, R4, R5, R6, R7, R8",R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,8,47R,
