C3:1
C5:1
C6:1
C7:1
C8:1
CV_INPUT_I2C_EXPANDER:1
D+12V1:1
D1:1
GATE_OUTPUT_EXPANDER1:1
J2:1
J4:1
J5:1
MIDI_EXPANDER_1:1
MIDI_EXPANDER_2:1
POWER1:1
R1:1
R2:1
R3:1
R4:1
R5:1
R6:1
SW1:1
SW2:1
SW3:1
U1:1
U2:1
U3:1
